energy,cache-misses,context-switches,page-faults,minor-faults,major-faults,branch-misses,instructions,cpu-cycles,cache-references,msr/tsc/,cpu-clock,ex_ret_instr,seconds user,seconds sys,accept,accept4,access,alarm,arch_prctl,bind,brk,clock_gettime,clock_nanosleep,clone,close,connect,execve,fcntl,flock,fsync,ftruncate,futex,getcwd,getdents64,geteuid,getpeername,getpid,getppid,getrandom,getrusage,getsockname,getsockopt,gettimeofday,getuid,ioctl,kill,listen,lseek,madvise,mkdir,mlock,mmap,mprotect,msync,munmap,newfstatat,openat,perf_event_open,pipe2,prctl,pread64,preadv,preadv2,prlimit64,pselect6,pwritev,pwritev2,read,readv,recvfrom,rmdir,rseq,rt_sigaction,rt_sigprocmask,sched_getaffinity,sendto,set_robust_list,set_tid_address,setpgid,setsockopt,shutdown,sigaltstack,socket,statfs,sysinfo,times,truncate,umask,uname,unlink,wait4,write,writev
76.59,862907472,120841,540196,528535,11529,253691756,58215837366,48794333851,3154615260,62756066740,31421,58394509233,0,0,0,0,972,0,0,90,0,231306,0,48,2693,475,0,3271,0,184,321,148570,2,378,174,440,4378,0,136,50,258,37,21345,947,4532,2,0,2121,25966,67,0,744,1475,0,700,1569,1916,0,5,0,0,0,0,3,0,0,0,26613,0,8791,108,0,6,177,0,1326,0,0,0,496,4,78,336,832,2,0,321,2,0,458,11,23708,0
73.35,850109909,67968,228849,219384,9445,122362491,25212153159,24746207886,1522048258,31991813320,16015.01,25369369271,0,0,0,0,751,0,0,92,0,227282,0,39,2629,476,0,3126,0,164,310,134471,2,374,162,350,4242,0,135,48,258,35,20931,925,4406,2,0,2036,20268,57,0,726,1525,0,704,1563,1873,0,5,0,0,0,0,3,0,0,0,26362,0,8527,108,0,6,153,0,1316,0,0,0,452,4,76,340,823,2,0,310,2,0,418,13,23326,0
76.6,408759548,68861,236950,226761,10084,125607333,26059628042,25467580910,1573742344,32929555460,16485.06,26141508646,0,0,0,0,744,0,0,89,0,230658,0,51,2631,475,0,3004,0,170,312,149866,2,376,156,340,4342,0,136,52,252,34,20960,917,4528,2,0,2016,23816,55,0,751,1475,0,718,1560,1863,0,5,0,0,0,0,3,0,0,0,26408,0,8316,109,0,4,179,0,1294,0,0,0,436,4,77,327,824,2,0,312,2,0,416,12,23441,0
73.87,850401823,115790,452572,440653,11882,248765135,46503305502,43353967310,3038600935,55904524840,27989.87,46580109811,0,0,0,0,945,0,0,91,0,226885,0,44,2598,470,0,3077,0,149,313,135982,2,366,159,307,4185,0,136,98,254,34,20969,927,4301,2,0,1997,18299,56,0,734,1453,0,683,1567,1871,0,5,0,0,0,0,3,0,0,0,26308,0,8489,104,0,4,166,0,1358,0,0,0,447,4,77,335,829,2,0,313,2,0,416,12,23261,0
75.44,395429952,66150,236015,226543,9428,119290870,24794794838,24164161985,1498197530,31251658020,15644.8,24918914263,0,0,0,0,933,0,0,89,0,221748,0,43,2576,453,0,3073,0,152,308,133342,2,370,159,355,4191,0,135,50,248,34,20924,914,4269,2,0,1995,20612,56,0,727,1545,0,682,1543,1850,0,5,0,0,0,0,3,0,0,0,25992,0,8424,106,0,6,164,0,1333,0,0,0,443,4,77,333,815,2,0,308,2,0,414,13,22960,0
74,838978564,114251,453341,441920,11395,243340726,46002566647,43131634542,3009465066,55621114280,27847.38,46243226741,0,0,0,0,943,0,0,93,0,224327,0,39,2631,467,0,3073,0,172,307,130601,2,366,159,325,4224,0,136,50,255,34,20936,915,4338,2,0,2028,22544,58,0,727,1497,0,694,1554,1857,0,5,0,0,0,0,3,0,0,0,26101,0,8501,104,0,4,155,0,1335,0,0,0,448,4,77,342,815,2,0,307,2,0,415,12,23080,0
75.08,859771374,116412,452126,440678,11421,250550806,46972699765,44049382879,3074013878,32448989260,16243.59,25972602340,0,0,0,0,956,0,0,96,0,227658,0,41,2646,536,0,3457,0,160,312,139180,2,376,178,385,4203,0,135,72,285,40,21459,951,4348,2,0,2107,20717,58,0,727,1449,0,691,1580,1888,0,5,0,0,0,0,3,0,0,0,26604,0,8951,109,0,4,160,0,1390,0,0,0,523,4,77,353,834,2,0,312,2,0,420,12,23382,0
75.28,399167113,66489,217593,207791,9754,120356154,24988554316,24364049630,1501850064,31558936700,15798.63,24937776700,0,0,0,0,940,0,0,93,0,227381,0,46,2634,517,0,3079,0,169,313,139623,2,384,159,291,4221,0,135,66,274,34,21126,918,4348,2,0,2037,20254,55,0,736,1515,0,708,1561,1858,0,5,0,0,0,0,3,0,0,0,26435,0,8532,113,0,4,170,0,1320,0,0,0,445,4,77,337,820,2,0,313,2,0,415,12,23457,0
74.15,854341775,116637,470181,458502,11651,247710237,47182123657,43977844547,3056019254,56694628720,28386.38,47534700927,0,0,0,0,934,0,0,99,0,229711,0,40,2695,529,0,3588,0,185,308,137415,2,370,184,540,4258,0,136,58,289,40,21422,940,4425,2,0,2186,23403,56,0,729,1483,0,718,1570,1861,0,5,0,0,0,0,3,0,0,0,26620,0,9106,106,0,4,155,0,1383,0,0,0,555,4,75,368,816,2,0,308,2,0,415,12,23530,0
84.15,886374741,109670,433303,419105,14172,265284385,46197756890,45577672657,3176572908,58634551740,29355.57,46289632687,0,0,0,0,862,0,0,19,0,309638,0,35,2840,118,0,5427,0,213,425,162101,1,412,224,1145,4124,0,295,55,90,71,30844,1087,4113,2,0,3002,15408,124,0,770,1519,0,742,1447,2079,0,4,0,0,0,0,3,0,0,0,26907,0,12270,121,0,6,162,0,1969,0,0,0,864,4,80,157,929,2,0,425,2,0,458,0,23574,0
82.81,877114495,108719,435484,421811,13646,264609094,46293023210,45403613547,3166523078,58393895240,29235.17,46632431777,0,0,0,0,877,0,0,20,0,307550,0,33,2837,126,0,5915,0,204,440,153399,1,410,248,1095,4032,0,282,54,101,81,30849,1116,4000,2,0,3107,17624,124,0,761,1577,0,710,1457,2090,0,4,0,0,0,0,3,0,0,0,27000,0,12137,120,0,6,154,0,1987,0,0,0,947,4,78,167,937,2,0,440,2,0,463,0,23494,0
85.6,887685760,109663,433180,418896,14229,264535411,46356711637,45458644405,3159317290,58474182080,29263.7,46406460223,0,0,0,0,1124,0,0,20,0,314994,0,32,2882,129,0,5640,0,206,480,153654,1,418,245,1203,4151,0,296,74,99,79,31020,1127,4114,2,0,3064,18936,124,0,764,1470,0,724,1476,2130,0,4,0,0,0,0,3,0,0,0,27172,0,12422,124,0,6,152,0,2019,0,0,0,937,4,80,170,947,2,0,480,2,0,457,0,23742,0
86.77,879670527,107902,438167,425059,13022,261524827,46307041656,45414643355,3137051376,58378221240,29226.82,46313055022,0,0,0,0,869,0,0,20,0,313118,0,30,2871,116,0,5484,0,227,414,159910,1,416,230,996,4107,0,294,62,93,73,31032,1090,4134,2,0,3050,17850,123,0,760,1517,0,742,1457,2084,0,4,0,0,0,0,3,0,0,0,27046,0,12042,123,0,6,148,0,2001,0,0,0,883,4,80,157,931,2,0,414,2,0,464,0,23759,0
84.19,879862720,109393,438005,423474,14507,264458431,46372066487,45586593126,3159025655,58586652340,29330.63,46475316431,0,0,0,0,1107,0,0,19,0,307381,0,33,2858,125,0,5563,0,184,474,160613,1,426,234,1332,4135,0,270,56,96,77,30609,1121,4150,2,0,2954,18195,123,0,763,1471,0,701,1479,2141,0,4,0,0,0,0,3,0,0,0,26760,0,11753,128,0,6,154,0,1930,0,0,0,922,4,78,165,955,2,0,474,2,0,458,0,23308,0
86.05,884317158,109953,439699,425298,14375,266765776,46619333868,45730899364,3188322909,58745819420,29411.8,46669165984,0,0,0,0,876,0,0,20,0,313427,0,32,2871,123,0,5518,0,221,432,154516,1,420,234,1223,4223,0,295,60,95,75,30866,1099,4204,2,0,2952,15851,121,0,767,1597,0,739,1465,2100,0,4,0,0,0,0,3,0,0,0,26999,0,12157,125,0,6,152,0,1977,0,0,0,911,4,80,163,935,2,0,432,2,0,463,0,23605,0
84.91,887577948,108676,437770,423138,14608,263484444,45863542879,45100063219,3122028827,58017517100,29045.76,45760335855,0,0,0,0,875,0,0,21,0,313837,0,32,2786,122,0,5485,0,188,424,152573,1,422,236,1051,4113,0,296,48,94,73,30627,1085,4025,2,0,2870,14438,120,0,786,1588,0,711,1445,2056,0,4,0,0,0,0,3,0,0,0,27265,0,12582,126,0,6,152,0,2012,0,0,0,885,4,80,164,918,2,0,424,2,0,458,0,23801,0
83.63,880035806,110052,440174,427290,12806,264838890,46276412368,45649159590,3157304724,58703117060,29389.56,46463033981,0,0,0,0,860,0,0,19,0,311209,0,31,2802,128,0,5662,0,202,403,163191,1,428,242,1523,4217,0,282,56,98,79,30629,1089,4111,2,0,3040,18047,125,0,759,1466,0,719,1443,2061,0,4,0,0,0,0,3,0,0,0,26822,0,12191,129,0,6,150,0,1909,0,0,0,941,4,80,167,913,2,0,403,2,0,460,0,23489,0
85.86,873585387,108991,431976,418933,13013,262237234,45932457777,45101860276,3109773911,58062555000,29069.05,45888191087,0,0,0,0,892,0,0,20,0,312256,0,43,2865,126,0,5777,0,191,473,150706,1,420,243,1342,4171,0,308,50,98,78,30717,1128,4102,2,0,2972,15929,121,0,797,1597,0,732,1499,2139,0,4,0,0,0,0,3,0,0,0,27277,0,12070,125,0,6,173,0,2027,0,0,0,947,4,79,167,950,2,0,473,2,0,458,0,23625,0
82.79,864003339,106672,433031,418041,14965,256696276,45528884143,44557673556,3068356072,57318431940,28696.39,45652442047,0,0,0,0,861,0,0,19,0,305620,0,29,2951,118,0,5505,0,226,470,156313,1,422,231,1165,4178,0,270,50,93,74,30710,1109,4110,2,0,3109,16906,125,0,792,1495,0,770,1498,2158,0,4,0,0,0,0,3,0,0,0,26602,0,11499,126,0,6,145,0,1924,0,0,0,886,4,79,158,946,2,0,470,2,0,459,0,23375,0
