energy,cache-misses,context-switches,page-faults,minor-faults,major-faults,branch-misses,instructions,cpu-cycles,cache-references,msr/tsc/,cpu-clock,ex_ret_instr,seconds user,seconds sys,accept,accept4,access,alarm,arch_prctl,bind,brk,clock_gettime,clock_nanosleep,clone,close,connect,execve,fcntl,flock,fsync,ftruncate,futex,getcwd,getdents64,geteuid,getpeername,getpid,getppid,getrandom,getrusage,getsockname,getsockopt,gettimeofday,getuid,ioctl,kill,listen,lseek,madvise,mkdir,mlock,mmap,mprotect,msync,munmap,newfstatat,openat,perf_event_open,pipe2,prctl,pread64,preadv,preadv2,prlimit64,pselect6,pwritev,pwritev2,read,readv,recvfrom,rmdir,rseq,rt_sigaction,rt_sigprocmask,sched_getaffinity,sendto,set_robust_list,set_tid_address,setpgid,setsockopt,shutdown,sigaltstack,socket,statfs,sysinfo,times,truncate,umask,uname,unlink,wait4,write,writev
47.23,55511062,18362,1013,434,579,8712110,8100260734,3420660802,281042019,4514044860,2259.47,8103497576,0.917269,1.362612,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,9150,3,1,1,75,4,0,12,3,3,2,0,0,7,3,20,1,0,9152,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,38,0,5,0,578,0,0,1,2,32,3,1,3,4,1,2,0,0,1,3,7,7,1,3,1,1,1,3,9272,0
47.29,80565359,19197,1014,435,579,13839058,8798482778,4067164952,274911823,5330394780,2668.29,8805334365,0.846455,1.843274,0,0,72,4,4,0,16,3,1,4,539,3,8,3,6,9356,3,1,1,76,4,0,12,3,3,2,0,0,7,3,19,1,0,9358,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9468,0
47.33,79768014,19176,1015,436,579,13539232,8808320747,4060384979,273800925,5327720720,2667,8786715948,0.850904,1.833989,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,9357,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9359,0,1,1,257,78,0,12,182,694,14,2,12,0,0,0,38,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9475,0
47.16,55695123,18703,1016,437,579,8671766,8207079877,3449153321,283941744,4549920120,2277.39,8213426701,0.761119,1.542063,0,0,72,4,4,0,16,3,1,4,539,3,8,3,6,9321,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9323,0,1,1,258,78,0,12,182,694,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9443,0
47.22,61828197,21752,1015,436,579,9395207,8094527937,3501134761,231431766,4640735220,2323.08,8077007442,0.805803,1.530845,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,9777,0,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9779,0,1,1,257,78,0,12,182,694,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9889,0
47.29,65477077,22514,1014,435,579,9994588,8330017180,3608691564,240307848,4772341080,2388.63,8330866606,0.911422,1.501157,0,0,72,4,4,0,16,3,1,4,540,3,8,3,6,10055,0,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,10057,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,38,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,10173,0
46.95,54473284,18580,1015,436,579,8736201,8167810184,3542392321,286865302,4672793920,2339.21,8148687662,0.754614,1.604896,0,0,72,4,4,0,16,3,1,4,539,3,8,3,6,9259,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9261,0,1,1,258,78,0,12,182,693,14,2,12,0,0,0,37,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9380,0
47.34,55148509,19056,1017,438,579,8417708,8362319620,3479054789,286720503,4577442720,2291.08,8367381302,0.764298,1.544711,0,0,72,4,4,0,16,3,1,4,540,3,8,3,6,9497,0,1,1,76,4,0,12,3,3,2,0,0,7,3,19,1,0,9499,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9619,0
47.12,58230727,18972,1015,436,579,8867373,8344277229,3620607776,290979014,4760870780,2383.1,8304324884,0.824612,1.580419,0,0,72,4,4,0,16,3,1,4,540,3,8,3,6,9455,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9457,0,1,1,258,78,0,12,182,694,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9577,0
47.18,81037316,18848,1015,437,578,14015060,8676237820,4135728107,276668936,5430032480,2718.23,8641083119,0.751506,1.996965,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,9185,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9187,0,1,1,258,78,0,12,182,694,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9300,0
47.31,79358506,18609,1013,434,579,13401495,8538177211,3975200059,269774911,5209342820,2607.69,8519459634,0.779496,1.849548,0,0,72,4,4,0,16,3,1,4,538,3,8,3,6,9078,0,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9080,0,1,1,258,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9195,0
47.22,55923047,19066,1016,437,579,8640406,8392930124,3656505882,294503753,4804865040,2405.1,8376466837,0.790916,1.634672,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,9503,3,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9505,0,1,1,258,78,0,11,182,695,14,2,12,0,0,0,39,0,5,0,579,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9625,0
47.39,63121118,21868,1014,435,579,9799526,8094630817,3535478590,231339101,4693761660,2349.6,8081192934,0.844604,1.518073,0,0,72,4,4,0,16,3,1,4,541,3,8,3,6,9758,0,1,1,76,4,0,12,3,3,2,0,0,7,3,20,1,0,9760,0,1,1,257,78,0,12,182,695,14,2,12,0,0,0,39,0,5,0,580,0,0,1,2,32,3,1,3,4,2,2,0,0,1,3,7,7,1,3,1,1,1,3,9871,0
