energy,cache-misses,context-switches,page-faults,minor-faults,major-faults,branch-misses,instructions,cpu-cycles,cache-references,msr/tsc/,cpu-clock,ex_ret_instr,seconds user,seconds sys,accept,accept4,access,alarm,arch_prctl,bind,brk,clock_gettime,clock_nanosleep,clone,close,connect,execve,fcntl,flock,fsync,ftruncate,futex,getcwd,getdents64,geteuid,getpeername,getpid,getppid,getrandom,getrusage,getsockname,getsockopt,gettimeofday,getuid,ioctl,kill,listen,lseek,madvise,mkdir,mlock,mmap,mprotect,msync,munmap,newfstatat,openat,perf_event_open,pipe2,prctl,pread64,preadv,preadv2,prlimit64,pselect6,pwritev,pwritev2,read,readv,recvfrom,rmdir,rseq,rt_sigaction,rt_sigprocmask,sched_getaffinity,sendto,set_robust_list,set_tid_address,setpgid,setsockopt,shutdown,sigaltstack,socket,statfs,sysinfo,times,truncate,umask,uname,unlink,wait4,write,writev
55.03,255284841,56855,1039,460,579,164691481,34489665552,45607855923,3912416481,57731400380,28912.86,34485581285,0.56917,28.320505,4019,0,72,4,4,1,16,3,1,6,12580,2013,8,2,6,0,0,1,1,76,4,1984,14,4,3,2,6030,32042,7,3,108718,2,1,2,0,0,1,260,78,0,14,182,2704,14,2,13,0,0,0,39,0,0,0,2584,0,81885,0,2,34,3,1,27110,5,2,4,30069,2009,1,8023,2,7,1,0,1,2,0,4,116,0
54.66,217940386,43827,1042,463,579,162462976,31655044211,42848051524,2745582210,54135951540,27111.04,31656916416,0.519556,26.576591,5933,0,72,4,4,1,16,3,2,6,18339,2976,8,2,6,0,0,1,1,76,4,2958,14,4,3,2,8916,47270,7,3,125324,2,1,2,0,0,1,260,78,0,14,182,3666,14,2,13,0,0,0,39,0,0,0,3546,0,83486,0,2,34,3,1,17011,5,2,4,41415,2971,1,11854,2,7,1,0,1,2,0,4,115,0
55.41,260501402,56894,1034,455,579,162876860,35481747279,45661699575,3994336391,57763890000,28929.66,35482428366,0.562991,28.341646,4042,0,72,4,4,1,16,3,1,6,12649,2024,8,2,6,0,0,1,1,76,4,2003,14,4,3,2,6063,28170,7,3,20195,2,1,2,0,0,1,260,78,0,14,182,2714,14,2,13,0,0,0,39,0,0,0,2593,0,94009,0,2,34,3,1,32732,5,2,4,28223,2020,1,8042,2,7,1,0,1,2,0,4,116,0
57.01,611947210,76332,1043,464,579,75517058,27376888160,42106676199,6914460244,53437586080,26758.06,27381107585,0.174866,26.552737,11892,0,72,4,4,1,16,3,1,6,36181,5949,8,2,6,0,0,1,1,76,4,5932,14,4,3,2,17837,94676,7,3,75730,2,1,2,0,0,1,260,78,0,14,182,6641,14,2,13,0,0,0,39,0,0,0,6520,0,0,0,2,34,3,1,3,5,2,4,82909,5945,1,23745,2,7,1,0,1,2,0,4,115,0
54,694579591,70333,1040,461,579,78300413,28053653615,42071192292,7522644205,53348772540,26714.17,28050254739,0.197271,26.491034,13048,0,72,4,4,1,16,3,2,6,39646,6528,8,2,6,0,0,1,1,76,4,6520,14,4,3,2,19571,103785,7,3,74092,2,1,2,0,0,1,260,78,0,14,182,7219,14,2,13,0,0,0,39,0,0,0,7097,0,0,0,2,34,3,1,3,5,2,4,97522,6523,1,26058,2,7,1,0,1,2,0,4,116,0
54.18,222509049,40863,1030,451,579,163249599,32245156356,42877324459,2815372264,54119757260,27103.3,32242551278,0.605593,26.484876,5962,0,72,4,4,1,16,3,2,6,18453,2995,8,2,6,0,0,1,1,76,4,2972,14,4,3,2,8973,41657,7,3,31324,2,1,2,0,0,1,260,78,0,14,182,3684,14,2,13,0,0,0,38,0,0,0,3563,0,88900,0,2,34,3,1,27084,5,2,4,38746,2990,1,11935,2,7,1,0,1,2,0,4,115,0
57.16,622676412,83876,1033,454,579,72259234,28074687322,42051609724,6975150313,53458775140,26768.32,28078982640,0.19474,26.540272,11778,0,72,4,4,1,16,3,1,6,35846,5892,8,2,6,0,0,1,1,76,4,5880,14,4,3,2,17667,82177,7,3,78990,2,1,2,0,0,1,260,78,0,14,182,6583,14,2,13,0,0,0,39,0,0,0,6461,0,0,0,2,34,3,1,3,5,2,4,82164,5888,1,23528,2,7,1,0,1,2,0,4,116,0
56.1,663995633,77393,1032,453,579,73501419,28411285570,42150966895,7255823507,53539737260,26809.06,28418079360,0.196273,26.585927,12363,0,72,4,4,1,16,3,2,6,37609,6186,8,2,6,0,0,1,1,76,4,6174,14,4,3,2,18546,86226,7,3,78548,2,1,2,0,0,1,260,78,0,14,182,6874,14,2,13,0,0,0,39,0,0,0,6755,0,0,0,2,34,3,1,3,5,2,4,80027,6181,1,24712,2,7,1,0,1,2,0,4,114,0
54.71,249022206,58958,1039,460,579,162915821,34421230980,45604573149,3909014415,57685578560,28890.55,34423230331,0.522698,28.341966,4013,0,72,4,4,1,16,3,1,6,12564,2010,8,2,6,0,0,1,1,76,4,1993,14,4,3,2,6020,31982,7,3,112540,2,1,2,0,0,1,260,78,0,14,182,2700,14,2,13,0,0,0,39,0,0,0,2579,0,84889,0,2,34,3,1,25577,5,2,4,30011,2006,1,7982,2,7,1,0,1,2,0,4,116,0
54.46,220649874,41924,1042,463,579,163750906,31716719311,42797852594,2766428991,54053099920,27069.55,31726739577,0.606062,26.451961,5930,0,72,4,4,1,16,3,2,6,18350,2977,8,2,6,0,0,1,1,75,4,2950,14,4,3,2,8919,47278,7,3,126249,2,1,2,0,0,1,260,78,0,14,182,3667,14,2,13,0,0,0,38,0,0,0,3546,0,85001,0,2,34,3,1,18232,5,2,4,41453,2972,1,11852,2,7,1,0,1,2,0,4,115,0
